id,username,password,city
1,user1,pass1,Bengkulu
2,user2,pass2,Ambon
3,user3,pass3,Bengkulu
4,user4,pass4,Mamuju
5,user5,pass5,Tanjung Selor
6,user6,pass6,Palangkaraya
7,user7,pass7,Surabaya
8,user8,pass8,Jambi
9,user9,pass9,Palu
10,user10,pass10,Pangkal Pinang
11,user11,pass11,Makassar
12,user12,pass12,Wanggar
13,user13,pass13,Gorontalo
14,user14,pass14,Tanjung Pinang
15,user15,pass15,Bengkulu
16,user16,pass16,Denpasar
17,user17,pass17,Semarang
18,user18,pass18,Ambon
19,user19,pass19,Banjarmasin
20,user20,pass20,Samarinda
21,user21,pass21,Palangkaraya
22,user22,pass22,Sofifi
23,user23,pass23,Mamuju
24,user24,pass24,Bandar Lampung
25,user25,pass25,Denpasar
26,user26,pass26,Denpasar
27,user27,pass27,Yogyakarta
28,user28,pass28,Tanjung Selor
29,user29,pass29,Mataram
30,user30,pass30,Semarang
31,user31,pass31,Kendari
32,user32,pass32,Jambi
33,user33,pass33,Padang
34,user34,pass34,Makassar
35,user35,pass35,Makassar
36,user36,pass36,Kendari
37,user37,pass37,Salor
38,user38,pass38,Banjarmasin
39,user39,pass39,Medan
40,user40,pass40,Pontianak
41,user41,pass41,Banjarmasin
42,user42,pass42,Walesi
43,user43,pass43,Surabaya
44,user44,pass44,Wanggar
45,user45,pass45,Salor
46,user46,pass46,Yogyakarta
47,user47,pass47,Kupang
48,user48,pass48,Palembang
49,user49,pass49,Serang
50,user50,pass50,Tanjung Selor
51,user51,pass51,Banda Aceh
52,user52,pass52,Sorong
53,user53,pass53,Samarinda
54,user54,pass54,Bandung
55,user55,pass55,Sofifi
56,user56,pass56,Bandung
57,user57,pass57,Serang
58,user58,pass58,Salor
59,user59,pass59,Manado
60,user60,pass60,Jayapura
61,user61,pass61,Gorontalo
62,user62,pass62,Manokwari
63,user63,pass63,Jakarta
64,user64,pass64,Manokwari
65,user65,pass65,Jakarta
66,user66,pass66,Sorong
67,user67,pass67,Mataram
68,user68,pass68,Yogyakarta
69,user69,pass69,Pekanbaru
70,user70,pass70,Denpasar
71,user71,pass71,Kupang
72,user72,pass72,Wanggar
73,user73,pass73,Bandung
74,user74,pass74,Semarang
75,user75,pass75,Manado
76,user76,pass76,Yogyakarta
77,user77,pass77,Yogyakarta
78,user78,pass78,Makassar
79,user79,pass79,Padang
80,user80,pass80,Wanggar
81,user81,pass81,Palu
82,user82,pass82,Tanjung Pinang
83,user83,pass83,Pontianak
84,user84,pass84,Sorong
85,user85,pass85,Kupang
86,user86,pass86,Jakarta
87,user87,pass87,Yogyakarta
88,user88,pass88,Salor
89,user89,pass89,Yogyakarta
90,user90,pass90,Salor
91,user91,pass91,Sorong
92,user92,pass92,Ambon
93,user93,pass93,Medan
94,user94,pass94,Kendari
95,user95,pass95,Palangkaraya
96,user96,pass96,Yogyakarta
97,user97,pass97,Jambi
98,user98,pass98,Palangkaraya
99,user99,pass99,Manokwari
100,user100,pass100,Wanggar
101,user101,pass101,Denpasar
102,user102,pass102,Banda Aceh
103,user103,pass103,Banda Aceh
104,user104,pass104,Tanjung Pinang
105,user105,pass105,Bandar Lampung
106,user106,pass106,Denpasar
107,user107,pass107,Surabaya
108,user108,pass108,Ambon
109,user109,pass109,Sorong
110,user110,pass110,Jayapura
111,user111,pass111,Denpasar
112,user112,pass112,Manado
113,user113,pass113,Salor
114,user114,pass114,Salor
115,user115,pass115,Jakarta
116,user116,pass116,Padang
117,user117,pass117,Manado
118,user118,pass118,Tanjung Selor
119,user119,pass119,Denpasar
120,user120,pass120,Bandung
121,user121,pass121,Semarang
122,user122,pass122,Walesi
123,user123,pass123,Padang
124,user124,pass124,Sorong
125,user125,pass125,Bandar Lampung
126,user126,pass126,Salor
127,user127,pass127,Bandung
128,user128,pass128,Denpasar
129,user129,pass129,Kupang
130,user130,pass130,Bengkulu
131,user131,pass131,Banda Aceh
132,user132,pass132,Banda Aceh
133,user133,pass133,Tanjung Pinang
134,user134,pass134,Wanggar
135,user135,pass135,Padang
136,user136,pass136,Walesi
137,user137,pass137,Tanjung Selor
138,user138,pass138,Pekanbaru
139,user139,pass139,Bandar Lampung
140,user140,pass140,Makassar
141,user141,pass141,Manokwari
142,user142,pass142,Mamuju
143,user143,pass143,Mataram
144,user144,pass144,Surabaya
145,user145,pass145,Denpasar
146,user146,pass146,Pontianak
147,user147,pass147,Salor
148,user148,pass148,Bandung
149,user149,pass149,Kupang
150,user150,pass150,Pangkal Pinang
151,user151,pass151,Manado
152,user152,pass152,Ambon
153,user153,pass153,Manokwari
154,user154,pass154,Mataram
155,user155,pass155,Ambon
156,user156,pass156,Banda Aceh
157,user157,pass157,Salor
158,user158,pass158,Sofifi
159,user159,pass159,Surabaya
160,user160,pass160,Yogyakarta
161,user161,pass161,Medan
162,user162,pass162,Yogyakarta
163,user163,pass163,Jambi
164,user164,pass164,Tanjung Pinang
165,user165,pass165,Pangkal Pinang
166,user166,pass166,Makassar
167,user167,pass167,Kupang
168,user168,pass168,Manado
169,user169,pass169,Walesi
170,user170,pass170,Jayapura
171,user171,pass171,Jayapura
172,user172,pass172,Serang
173,user173,pass173,Bandar Lampung
174,user174,pass174,Mamuju
175,user175,pass175,Semarang
176,user176,pass176,Samarinda
177,user177,pass177,Jambi
178,user178,pass178,Medan
179,user179,pass179,Gorontalo
180,user180,pass180,Wanggar
181,user181,pass181,Sorong
182,user182,pass182,Jayapura
183,user183,pass183,Yogyakarta
184,user184,pass184,Jambi
185,user185,pass185,Denpasar
186,user186,pass186,Bandar Lampung
187,user187,pass187,Kendari
188,user188,pass188,Sofifi
189,user189,pass189,Pekanbaru
190,user190,pass190,Pontianak
191,user191,pass191,Padang
192,user192,pass192,Mataram
193,user193,pass193,Sofifi
194,user194,pass194,Banda Aceh
195,user195,pass195,Kendari
196,user196,pass196,Ambon
197,user197,pass197,Pontianak
198,user198,pass198,Kupang
199,user199,pass199,Ambon
200,user200,pass200,Sorong
201,user201,pass201,Banda Aceh
202,user202,pass202,Pekanbaru
203,user203,pass203,Yogyakarta
204,user204,pass204,Manokwari
205,user205,pass205,Bengkulu
206,user206,pass206,Samarinda
207,user207,pass207,Manokwari
208,user208,pass208,Tanjung Selor
209,user209,pass209,Gorontalo
210,user210,pass210,Walesi
211,user211,pass211,Yogyakarta
212,user212,pass212,Manado
213,user213,pass213,Sorong
214,user214,pass214,Banjarmasin
215,user215,pass215,Bandar Lampung
216,user216,pass216,Surabaya
217,user217,pass217,Gorontalo
218,user218,pass218,Banjarmasin
219,user219,pass219,Tanjung Selor
220,user220,pass220,Semarang
221,user221,pass221,Salor
222,user222,pass222,Sorong
223,user223,pass223,Walesi
224,user224,pass224,Medan
225,user225,pass225,Makassar
226,user226,pass226,Mamuju
227,user227,pass227,Banjarmasin
228,user228,pass228,Jayapura
229,user229,pass229,Bandar Lampung
230,user230,pass230,Bandung
231,user231,pass231,Medan
232,user232,pass232,Banda Aceh
233,user233,pass233,Yogyakarta
234,user234,pass234,Jakarta
235,user235,pass235,Banda Aceh
236,user236,pass236,Manokwari
237,user237,pass237,Banjarmasin
238,user238,pass238,Banda Aceh
239,user239,pass239,Jakarta
240,user240,pass240,Bengkulu
241,user241,pass241,Tanjung Selor
242,user242,pass242,Makassar
243,user243,pass243,Sofifi
244,user244,pass244,Sofifi
245,user245,pass245,Bandar Lampung
246,user246,pass246,Pontianak
247,user247,pass247,Walesi
248,user248,pass248,Sofifi
249,user249,pass249,Manado
250,user250,pass250,Medan
251,user251,pass251,Pekanbaru
252,user252,pass252,Gorontalo
253,user253,pass253,Sofifi
254,user254,pass254,Serang
255,user255,pass255,Yogyakarta
256,user256,pass256,Surabaya
257,user257,pass257,Jambi
258,user258,pass258,Tanjung Selor
259,user259,pass259,Bandung
260,user260,pass260,Kupang
261,user261,pass261,Bandung
262,user262,pass262,Semarang
263,user263,pass263,Pangkal Pinang
264,user264,pass264,Yogyakarta
265,user265,pass265,Mataram
266,user266,pass266,Walesi
267,user267,pass267,Sorong
268,user268,pass268,Gorontalo
269,user269,pass269,Banjarmasin
270,user270,pass270,Jayapura
271,user271,pass271,Padang
272,user272,pass272,Pekanbaru
273,user273,pass273,Jayapura
274,user274,pass274,Manokwari
275,user275,pass275,Palembang
276,user276,pass276,Banjarmasin
277,user277,pass277,Yogyakarta
278,user278,pass278,Tanjung Selor
279,user279,pass279,Salor
280,user280,pass280,Palangkaraya
281,user281,pass281,Gorontalo
282,user282,pass282,Jakarta
283,user283,pass283,Surabaya
284,user284,pass284,Tanjung Pinang
285,user285,pass285,Banjarmasin
286,user286,pass286,Kupang
287,user287,pass287,Banjarmasin
288,user288,pass288,Sorong
289,user289,pass289,Manokwari
290,user290,pass290,Gorontalo
291,user291,pass291,Semarang
292,user292,pass292,Semarang
293,user293,pass293,Makassar
294,user294,pass294,Wanggar
295,user295,pass295,Gorontalo
296,user296,pass296,Tanjung Pinang
297,user297,pass297,Pekanbaru
298,user298,pass298,Salor
299,user299,pass299,Denpasar
300,user300,pass300,Surabaya
