,id,username,password,city
0,1,user1,pass1,Bengkulu
1,2,user2,pass2,Ambon
2,3,user3,pass3,Bengkulu
3,4,user4,pass4,Mamuju
4,5,user5,pass5,Tanjung Selor
5,6,user6,pass6,Palangkaraya
6,7,user7,pass7,Surabaya
7,8,user8,pass8,Jambi
8,9,user9,pass9,Palu
9,10,user10,pass10,Pangkal Pinang
10,11,user11,pass11,Makassar
11,12,user12,pass12,Wanggar
12,13,user13,pass13,Gorontalo
13,14,user14,pass14,Tanjung Pinang
14,15,user15,pass15,Bengkulu
15,16,user16,pass16,Denpasar
16,17,user17,pass17,Semarang
17,18,user18,pass18,Ambon
18,19,user19,pass19,Banjarmasin
19,20,user20,pass20,Samarinda
20,21,user21,pass21,Palangkaraya
21,22,user22,pass22,Sofifi
22,23,user23,pass23,Mamuju
23,24,user24,pass24,Bandar Lampung
24,25,user25,pass25,Denpasar
25,26,user26,pass26,Denpasar
26,27,user27,pass27,Yogyakarta
27,28,user28,pass28,Tanjung Selor
28,29,user29,pass29,Mataram
29,30,user30,pass30,Semarang
30,31,user31,pass31,Kendari
31,32,user32,pass32,Jambi
32,33,user33,pass33,Padang
33,34,user34,pass34,Makassar
34,35,user35,pass35,Makassar
35,36,user36,pass36,Kendari
36,37,user37,pass37,Salor
37,38,user38,pass38,Banjarmasin
38,39,user39,pass39,Medan
39,40,user40,pass40,Pontianak
40,41,user41,pass41,Banjarmasin
41,42,user42,pass42,Walesi
42,43,user43,pass43,Surabaya
43,44,user44,pass44,Wanggar
44,45,user45,pass45,Salor
45,46,user46,pass46,Yogyakarta
46,47,user47,pass47,Kupang
47,48,user48,pass48,Palembang
48,49,user49,pass49,Serang
49,50,user50,pass50,Tanjung Selor
50,51,user51,pass51,Banda Aceh
51,52,user52,pass52,Sorong
52,53,user53,pass53,Samarinda
53,54,user54,pass54,Bandung
54,55,user55,pass55,Sofifi
55,56,user56,pass56,Bandung
56,57,user57,pass57,Serang
57,58,user58,pass58,Salor
58,59,user59,pass59,Manado
59,60,user60,pass60,Jayapura
60,61,user61,pass61,Gorontalo
61,62,user62,pass62,Manokwari
62,63,user63,pass63,Jakarta
63,64,user64,pass64,Manokwari
64,65,user65,pass65,Jakarta
65,66,user66,pass66,Sorong
66,67,user67,pass67,Mataram
67,68,user68,pass68,Yogyakarta
68,69,user69,pass69,Pekanbaru
69,70,user70,pass70,Denpasar
70,71,user71,pass71,Kupang
71,72,user72,pass72,Wanggar
72,73,user73,pass73,Bandung
73,74,user74,pass74,Semarang
74,75,user75,pass75,Manado
75,76,user76,pass76,Yogyakarta
76,77,user77,pass77,Yogyakarta
77,78,user78,pass78,Makassar
78,79,user79,pass79,Padang
79,80,user80,pass80,Wanggar
80,81,user81,pass81,Palu
81,82,user82,pass82,Tanjung Pinang
82,83,user83,pass83,Pontianak
83,84,user84,pass84,Sorong
84,85,user85,pass85,Kupang
85,86,user86,pass86,Jakarta
86,87,user87,pass87,Yogyakarta
87,88,user88,pass88,Salor
88,89,user89,pass89,Yogyakarta
89,90,user90,pass90,Salor
90,91,user91,pass91,Sorong
91,92,user92,pass92,Ambon
92,93,user93,pass93,Medan
93,94,user94,pass94,Kendari
94,95,user95,pass95,Palangkaraya
95,96,user96,pass96,Yogyakarta
96,97,user97,pass97,Jambi
97,98,user98,pass98,Palangkaraya
98,99,user99,pass99,Manokwari
99,100,user100,pass100,Wanggar
100,101,user101,pass101,Denpasar
101,102,user102,pass102,Banda Aceh
102,103,user103,pass103,Banda Aceh
103,104,user104,pass104,Tanjung Pinang
104,105,user105,pass105,Bandar Lampung
105,106,user106,pass106,Denpasar
106,107,user107,pass107,Surabaya
107,108,user108,pass108,Ambon
108,109,user109,pass109,Sorong
109,110,user110,pass110,Jayapura
110,111,user111,pass111,Denpasar
111,112,user112,pass112,Manado
112,113,user113,pass113,Salor
113,114,user114,pass114,Salor
114,115,user115,pass115,Jakarta
115,116,user116,pass116,Padang
116,117,user117,pass117,Manado
117,118,user118,pass118,Tanjung Selor
118,119,user119,pass119,Denpasar
119,120,user120,pass120,Bandung
120,121,user121,pass121,Semarang
121,122,user122,pass122,Walesi
122,123,user123,pass123,Padang
123,124,user124,pass124,Sorong
124,125,user125,pass125,Bandar Lampung
